loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.4579,0.16644154489040375,4.411533523714954e-05,0.7699530516431925,41,,,,,,,,,
0.4809,0.16061493754386902,4.378912188470373e-05,0.7887323943661971,42,,,,,,,,,
0.4736,0.1649262011051178,4.345538550850512e-05,0.8075117370892019,43,,,,,,,,,
0.4173,0.17846357822418213,4.311425973410047e-05,0.8262910798122066,44,,,,,,,,,
0.5758,0.17506194114685059,4.2765881145696306e-05,0.8450704225352113,45,,,,,,,,,
0.5156,0.1700257956981659,4.241038923147154e-05,0.863849765258216,46,,,,,,,,,
0.4291,0.14881397783756256,4.204792632772754e-05,0.8826291079812206,47,,,,,,,,,
0.4652,0.1513192057609558,4.167863756189767e-05,0.9014084507042254,48,,,,,,,,,
0.4794,0.1544656604528427,4.130267079443938e-05,0.92018779342723,49,,,,,,,,,
0.4829,0.15878826379776,4.092017655963198e-05,0.9389671361502347,50,,,,,,,,,
0.4013,0.14751583337783813,4.053130800530386e-05,0.9577464788732394,51,,,,,,,,,
0.4513,0.1692482829093933,4.013622083151321e-05,0.9765258215962441,52,,,,,,,,,
0.4437,0.17933432757854462,3.9735073228206896e-05,0.9953051643192489,53,,,,,,,,,
0.4472,0.4209664463996887,3.932802581188243e-05,1.0,54,,,,,,,,,
0.442,0.15989993512630463,3.8915241561278266e-05,1.0187793427230047,55,,,,,,,,,
0.4895,0.173130601644516,3.849688575211836e-05,1.0375586854460095,56,,,,,,,,,
0.4094,0.17221249639987946,3.807312589093701e-05,1.056338028169014,57,,,,,,,,,
0.4131,0.175195574760437,3.7644131648010494e-05,1.0751173708920188,58,,,,,,,,,
0.4446,0.15487170219421387,3.721007478942236e-05,1.0938967136150235,59,,,,,,,,,
0.4093,0.15516886115074158,3.677112910828957e-05,1.1126760563380282,60,,,,,,,,,
,,,1.1126760563380282,60,0.431207537651062,10.7185,27.989,3.545,,,,,
0.4292,0.18825560808181763,3.632747035517701e-05,1.131455399061033,61,,,,,,,,,
0.4361,0.16092318296432495,3.587927616772834e-05,1.1502347417840375,62,,,,,,,,,
0.4597,0.17833402752876282,3.5426725999541174e-05,1.1690140845070423,63,,,,,,,,,
0.436,0.1692916601896286,3.497000104831518e-05,1.187793427230047,64,,,,,,,,,
0.425,0.1870637685060501,3.450928418330193e-05,1.2065727699530517,65,,,,,,,,,
0.4933,0.18242235481739044,3.404475987208539e-05,1.2253521126760563,66,,,,,,,,,
0.4519,0.16234055161476135,3.357661410672247e-05,1.244131455399061,67,,,,,,,,,
